artist_name,total_plays,total_minutes,skip_rate,loyalty_score
Vishal-Shekhar,114,353.18835,0.2894736842105263,81.0
Vladish,3,1.3073333333333332,0.6666666666666666,1.0
Vrushabh Kathale,4,13.695533333333334,0.25,3.0
WILLOW,9,13.543316666666666,0.5555555555555556,4.0
Wafia,101,286.63233333333335,0.12871287128712872,88.0
Whales,3,2.0113333333333334,0.6666666666666666,1.0
WhiteBuffs,1,0.709,0.0,1.0
Why Don't We,45,114.78901666666667,0.2222222222222222,35.0
Wänderlost,11,16.822133333333333,0.09090909090909091,10.0
X V I,2,3.5943,0.5,1.0
XXKATUSJINSUX,16,12.490533333333333,0.5,8.0
XXXTENTACION,2,0.38136666666666663,1.0,0.0
Xan Griffin,3,4.694416666666667,0.0,3.0
Xanemusic,10,23.253966666666667,0.2,8.0
YC Banks,1,1.23935,1.0,0.0
YOUNGTAK,2,0.42866666666666664,1.0,0.0
Yagih Mael,5,5.080916666666667,0.6,2.0
Yash Narvekar,1,2.935416666666667,0.0,1.0
Yawar Abdal,1,0.9753333333333334,1.0,0.0
Yazin Nizar,11,18.64603333333333,0.8181818181818182,1.9999999999999996
"Yazin Nizar, Lipsika",4,2.42065,0.75,1.0
"Yazin Nizar, Pranavi",1,1.6348833333333332,1.0,0.0
Ylvis,2,1.5672,1.0,0.0
Yo Yo Honey Singh,225,529.22285,0.39555555555555555,136.0
Yokomeshi,15,14.070183333333333,0.4666666666666667,8.0
You Forever,2,3.7210833333333335,0.0,2.0
Young Slo-Be,9,6.792116666666666,0.6666666666666666,3.0000000000000004
Young Stunners,1,4.07115,1.0,0.0
Yu-Peng Chen,4,4.071266666666666,0.5,2.0
Yuvan Shankar Raja,243,537.8939666666666,0.6213991769547325,92.00000000000001
ZAYN,40,71.55839999999999,0.55,18.0
ZICO,1,0.3053333333333333,1.0,0.0
Zach Seabaugh,11,8.8346,0.7272727272727273,3.0
Zack Knight,76,164.98028333333332,0.5,38.0
Zara Larsson,29,80.28033333333333,0.20689655172413793,23.0
Zayde Wølf,2,4.845783333333333,0.5,1.0
a girl and a cat,2,0.7312333333333332,1.0,0.0
